name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes
Rodney Faverus,25,20,3,182.88,97.52,182.88,Southpaw,1900-01-01,2.3,53.0,1.6,54.0,4.5,100.0,25.0,0.0
James Mulheron,11,2,0,177.8,110.22,185.42,Orthodox,1988-02-20,2.4,31.0,3.47,42.0,0.0,0.0,25.0,0.0
Jonny Carson,11,7,0,177.8,70.31,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Hein,14,5,0,167.64,70.31,167.64,Southpaw,1984-04-24,2.65,35.0,3.61,59.0,0.86,33.0,83.0,0.0
Adam Hunter,7,1,0,185.42,83.91,182.88,Orthodox,1983-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Cherico,11,1,0,170.18,65.77,175.26,Orthodox,1986-05-12,3.69,34.0,7.37,56.0,5.03,50.0,0.0,0.0
Nick Nolte,5,4,0,182.88,77.11,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gleristone Santos,33,7,0,175.26,65.77,182.88,Unknown,1900-01-01,3.4,31.0,4.4,64.0,0.0,0.0,75.0,0.0
Emily Ducote,13,8,0,157.48,52.16,160.02,Orthodox,1994-01-01,6.93,48.0,7.98,56.0,0.25,14.0,92.0,0.0
Andy Waters,1,2,0,182.88,77.11,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Gilliam,14,9,0,182.88,77.11,182.88,Orthodox,1900-01-01,0.79,33.0,3.14,42.0,0.0,0.0,0.0,0.0
Johnny Cisneros,9,6,0,180.34,77.11,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art Jimmerson,0,1,0,185.42,88.9,182.88,Orthodox,1963-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Hawes,6,9,0,180.34,92.99,182.88,Unknown,1900-01-01,0.0,0.0,3.41,37.0,0.0,0.0,0.0,0.0
Art Santore,18,8,0,187.96,83.91,182.88,Unknown,1900-01-01,1.4,12.0,7.31,52.0,0.0,0.0,100.0,0.0
Charlie Ward,3,3,0,180.34,77.11,182.88,Orthodox,1980-12-17,1.64,19.0,7.21,53.0,0.0,0.0,0.0,0.0
Jianping Yang,11,4,1,170.18,65.77,182.88,Orthodox,1988-11-27,1.4,26.0,2.07,65.0,1.0,25.0,33.0,0.0
Tony Halme,0,4,0,190.5,136.08,182.88,Orthodox,1963-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clint Hester,11,6,0,187.96,92.99,195.58,Orthodox,1986-11-21,3.36,42.0,3.44,56.0,1.02,35.0,60.0,0.0
Bas Rutten,28,4,1,185.42,92.99,182.88,Orthodox,1965-02-24,5.59,61.0,2.06,79.0,0.0,0.0,0.0,0.0
Frank Camacho,22,10,0,177.8,70.31,185.42,Orthodox,1989-05-18,6.56,46.0,7.44,51.0,1.11,31.0,73.0,0.0
Sheymon Moraes,11,4,0,172.72,65.77,182.88,Orthodox,1990-10-11,3.0,42.0,3.64,63.0,0.0,0.0,53.0,0.0
Ian McCall,13,5,1,165.1,56.7,162.56,Orthodox,1984-05-07,3.59,39.0,3.25,67.0,2.08,30.0,88.0,0.0
Jonathan Wilson,7,3,0,187.96,92.99,190.5,Southpaw,1987-07-17,2.92,48.0,5.65,56.0,0.37,100.0,80.0,0.0
Julio Cesar Neves Jr.,33,1,0,172.72,65.77,182.88,Unknown,1900-01-01,1.98,35.0,4.81,51.0,1.06,25.0,76.0,0.0
Hisaki Kato,8,2,0,182.88,83.91,182.88,Unknown,1900-01-01,2.8,48.0,1.72,68.0,1.62,100.0,0.0,0.0
Karol Rosa,17,5,0,165.1,61.23,170.18,Orthodox,1994-12-30,5.43,55.0,4.17,48.0,1.38,47.0,68.0,0.0
Bao Quach,19,10,1,160.02,65.77,182.88,Orthodox,1979-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Soto,8,3,1,172.72,61.23,182.88,Southpaw,1984-02-15,2.95,25.0,5.02,59.0,2.82,30.0,0.0,0.0
Richie Hightower,8,4,0,172.72,77.11,182.88,Orthodox,1974-11-26,4.62,35.0,6.92,21.0,3.46,100.0,100.0,0.0
Chris Hawk,5,10,0,185.42,92.99,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabio Aguiar,17,1,0,182.88,83.91,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salvador Woods,8,17,0,180.34,77.11,182.88,Unknown,1900-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrence Mitchell,14,4,0,177.8,61.23,187.96,Orthodox,1989-12-30,2.21,34.0,8.85,41.0,3.69,50.0,0.0,0.0
Thomas Paull,11,4,0,170.18,70.31,170.18,Orthodox,1994-10-15,7.33,33.0,8.67,64.0,0.0,0.0,0.0,0.0
Paulo Costa,14,2,0,185.42,83.91,182.88,Orthodox,1991-04-21,6.5,60.0,6.38,47.0,0.53,75.0,79.0,0.0
Josh Bryant,15,4,0,177.8,83.91,182.88,Orthodox,1980-04-23,1.1,20.0,6.1,43.0,0.0,0.0,0.0,0.0
Ravena Oliveira,7,2,1,165.1,61.23,165.1,Orthodox,1997-02-20,1.0,48.0,1.2,48.0,2.0,66.0,62.0,0.0
Ed Ratcliff,7,3,0,177.8,70.31,180.34,Orthodox,1983-03-05,2.71,38.0,2.96,63.0,0.28,16.0,53.0,0.0
Maheshate,9,3,0,182.88,70.31,180.34,Orthodox,1999-12-01,2.91,26.0,4.86,49.0,0.0,0.0,45.0,0.0
Luke Jumeau,13,5,0,180.34,77.11,182.88,Orthodox,1988-02-12,2.93,43.0,3.17,58.0,0.25,100.0,86.0,0.0
